NUMERO;NOM;TYPE_1;TYPE_2;POINTS_DE_VIE;POINTS_ATTAQUE;POINTS_DEFFENCE;POINTS_ATTAQUE_SPECIALE;POINT_DEFENSE_SPECIALE;POINTS_VITESSE;NOMBRE_GENERATIONS;LEGENDAIRE;Nb_Combats_Menes;Nb_Combats_Gagnes;Pourcentage_Victoires
1;Bulbizarre;Herbe;Poison;45;49;49;65;65;45;1;0;133;37;27.819548872180448
2;Herbizarre;Herbe;Poison;60;62;63;80;80;60;1;0;121;46;38.01652892561984
3;Florizarre;Herbe;Poison;80;82;83;100;100;80;1;0;132;89;67.42424242424242
4;Mega Florizarre;Herbe;Poison;80;100;123;122;120;80;1;0;125;70;56.00000000000001
5;Salamèche;Feu;None;39;52;43;60;50;65;1;0;112;55;49.107142857142854
6;Reptincel;Feu;None;58;64;58;80;65;80;1;0;118;64;54.23728813559322
7;Dracaufeu;Feu;Vol;78;84;78;109;85;100;1;0;133;115;86.46616541353383
8;Mega Dracaufeu X;Feu;Dragon;78;130;111;130;85;100;1;0;139;119;85.61151079136691
9;Mega Dracaufeu Y;Feu;Vol;78;104;78;159;115;100;1;0;135;114;84.44444444444444
10;Carapuce;Eau;None;44;48;65;50;64;43;1;0;117;19;16.23931623931624
11;Carabaffe;Eau;None;59;63;80;65;80;58;1;0;141;59;41.843971631205676
12;Tortank;Eau;None;79;83;100;85;105;78;1;0;0;0;0.0
13;Mega Tortank;Eau;None;79;103;120;135;115;78;1;0;144;83;57.638888888888886
14;Chenipan;Insecte;None;45;30;35;20;20;45;1;0;115;17;14.782608695652174
15;Chrysacier;Insecte;None;50;20;55;25;25;30;1;0;133;13;9.774436090225564
16;Papilusion;Insecte;Vol;60;45;50;90;80;70;1;0;120;75;62.5
17;Aspicot;Insecte;Poison;40;35;30;20;20;50;1;0;111;26;23.423423423423422
18;Coconfort;Insecte;Poison;45;25;50;25;25;35;1;0;130;17;13.076923076923078
19;Dardargnan;Insecte;Poison;65;90;40;45;80;75;1;0;128;80;62.5
20;Mega Dardagnan;Insecte;Poison;65;150;40;15;80;145;1;0;119;115;96.63865546218487
21;Roucool;Normal;Vol;40;45;40;35;35;56;1;0;126;47;37.301587301587304
22;Roucoups;Normal;Vol;63;60;55;50;50;71;1;0;121;64;52.892561983471076
23;Roucarnage;Normal;Vol;83;80;75;70;70;101;1;0;130;112;86.15384615384616
24;Mega Roucarnage;Normal;Vol;83;80;80;135;80;121;1;0;126;119;94.44444444444444
25;Rattata;Normal;None;30;56;35;25;35;72;1;0;135;65;48.148148148148145
26;Rattatac;Normal;None;55;81;60;50;70;97;1;0;140;101;72.14285714285714
27;Piafabec;Normal;Vol;40;60;30;31;31;70;1;0;138;62;44.927536231884055
28;Rapasdepic;Normal;Vol;65;90;65;61;61;100;1;0;123;103;83.73983739837398
29;Abo;Poison;None;35;60;44;40;54;55;1;0;131;48;36.6412213740458
30;Arbok;Poison;None;60;85;69;65;79;80;1;0;125;72;57.599999999999994
31;Pikachu;Electrique;None;35;55;40;50;50;90;1;0;136;93;68.38235294117648
32;Raichu;Electrique;None;60;90;55;90;80;110;1;0;121;105;86.77685950413223
33;Sabelette;Sol;None;50;75;85;20;30;40;1;0;0;0;0.0
34;Sablaireau;Sol;None;75;100;110;45;55;65;1;0;105;56;53.333333333333336
35;Nidoran male;Poison;None;55;47;52;40;40;41;1;0;119;20;16.80672268907563
36;Nidorina;Poison;None;70;62;67;55;55;56;1;0;148;57;38.513513513513516
37;Nidoqueen;Poison;Sol;90;92;87;75;85;76;1;0;122;66;54.09836065573771
38;Nidoran femelle;Poison;None;46;57;40;40;40;50;1;0;136;34;25.0
39;Nidorino;Poison;None;61;72;57;55;55;65;1;0;128;51;39.84375
40;Nidoking;Poison;Sol;81;102;77;85;75;85;1;0;140;79;56.42857142857143
41;Mélofée;Fée;None;70;45;48;60;65;35;1;0;127;20;15.748031496062993
42;Mélodelfe;Fée;None;95;70;73;95;90;60;1;0;123;49;39.83739837398374
43;Goupix;Feu;None;38;41;40;50;65;65;1;0;129;53;41.08527131782946
44;Feunard;Feu;None;73;76;75;81;100;100;1;0;127;103;81.10236220472441
45;Rondoudou;Normal;Fée;115;45;20;45;25;20;1;0;130;15;11.538461538461538
46;Grodoudou;Normal;Fée;140;70;45;85;50;45;1;0;0;0;0.0
47;Nosferapti;Poison;Vol;40;45;35;30;40;55;1;0;145;55;37.93103448275862
48;Nosferalto;Poison;Vol;75;80;70;65;75;90;1;0;128;97;75.78125
49;Mystherbe;Herbe;Poison;45;50;55;75;65;30;1;0;143;9;6.293706293706294
50;Ortide;Herbe;Poison;60;65;70;85;75;40;1;0;129;28;21.705426356589147
51;Rafflesia;Herbe;Poison;75;80;85;110;90;50;1;0;124;44;35.483870967741936
52;Paras;Insecte;Herbe;35;70;55;45;55;25;1;0;138;13;9.420289855072465
53;Parasect;Insecte;Herbe;60;95;80;60;80;30;1;0;154;30;19.480519480519483
54;Mimitoss;Insecte;Poison;60;55;50;40;55;45;1;0;143;32;22.377622377622377
55;Aéromite;Insecte;Poison;70;65;60;90;75;90;1;0;140;92;65.71428571428571
56;Taupiqueur;Sol;None;10;55;25;35;45;95;1;0;126;68;53.96825396825397
57;Triopikeur;Sol;None;35;80;50;50;70;120;1;0;128;108;84.375
58;Miaouss;Normal;None;40;45;35;40;40;90;1;0;140;91;65.0
